InChIKey,InChI,IC50
141152,COc1ccc(cc1)S(=O)(=O)Nc1cc(SCC(O)=O)c(O)c2ccccc12, 9390
141153,CCOc1ccc2nc(NC(=O)CSc3cnn[nH]3)sc2c1, 44100
141154,Clc1ccc(-c2cc(no2)C(=O)N2CCCCCC2)c(Cl)c1, 20500
141155,Clc1cc(NC(=O)c2cccs2)ccc1NC(=O)c1cccs1, 27600
141156,OC(=O)c1cccc(NC(=O)c2cccc(c2)S(=O)(=O)N2CCc3ccccc23)c1, 24400
141157,COc1cccc2oc3cc(ccc3c(=O)c12)-c1ccc2[nH]ccc2c1, 2810
141158,Brc1cccc(\C=C2/SC(=S)N(CCCC(=O)N3CCOCC3)C2=O)c1, 78100
141159,CCc1sc(cc1Br)C(=O)Nc1ccc2OCCOc2c1, 15700
141160,Cc1ccc(c(C)c1)S(=O)(=O)N=C1C=C(Nc2cccc(c2)C(O)=O)C(=O)c2ccccc12, 1780
141161,Clc1ccccc1\C=C1/SC(=S)N(CCCC(=O)NCCCN2CCOCC2)C1=O, 43600
141162,Cc1ccc(Cn2ccsc2=NC(=O)COC(=O)c2ccc(O)cc2O)cc1,>100000
141163,Cc1c(oc2ccccc12)C(=O)Nc1ccc(C)cn1,>100000
141164,CN(CC(=O)Nc1ccc(Cl)cc1)C(=O)CNC(=O)c1ccc2ccccc2c1,>100000
141165,OC(=O)c1ccccc1NC(=O)COc1ccc2ccccc2c1, 43400
141166,Cc1c(NC(=O)c2ccc(NC(=O)C3CC3)cc2)cccc1C(O)=O, 25800
141167,COc1ccc(COC(=O)c2c(C)nn(c2Cl)-c2ccccc2)cc1, 98100
141168,CCCCc1ccc(NC(=O)Nc2cccnc2)cc1, 16800
141169,COc1ccc(C)cc1NC(=O)Nc1ccc2CCCc2c1,>100000
141170,COc1cccc(NC(=O)Nc2ccc3CCCc3c2)c1,>100000
141171,COc1ccc(cc1)C(N)=NOC(=O)C1CCCCC1, 44100
141172,Oc1cccc(c1)C(=O)NN=Cc1cccc(Oc2ccccc2)c1, 24000
141173,CCOc1ccccc1NC(=O)Nc1ccc2CCCc2c1, 9290
141174,Fc1cccc(NC(=O)Nc2ccc3CCCc3c2)c1,>100000
141175,COc1cccc(c1)C(=O)OCC(=O)c1ccc(Br)s1, 21579
141176,Cc1ccc(Cl)c2sc(NC(=O)C3=COCCO3)nc12,>100000
141177,Cc1ccc(cc1)-c1cc(no1)-c1ccccc1, 23700
141178,OC(=O)c1ccc(NC(=O)CCCN2C(=O)S\C(=C\c3ccccc3)C2=S)cc1, 29800
141179,Cc1nc2cc(NC(=O)c3ccc(Br)s3)ccc2s1,>100000
141180,CCOC(=O)c1c(C)[nH]c(C(=O)OCC(=O)c2ccccc2)c1C, 26400
141181,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)N1CCC(=N1)c1ccccc1, 5920
141182,CC1CCCN(C1)C(=O)c1ccc(o1)-c1ccccc1Cl, 31400
141183,Cc1ccc2C(=O)c3ccccc3C(=O)c2c1N,>100000
141184,Cn1c(cc2onc(-c3ccccc3)c2c1=O)-c1ccccc1, 3110
141185,CC(=O)Nc1ccc(C(=O)COC(=O)C2CCCCC2)c(F)c1, 65600
141186,COc1ccccc1CNC(=O)COc1ccccc1C(=O)c1cnn(c1)-c1ccccc1, 24300
141187,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)Nc1ccc(F)cc1, 4050
141188,COc1ccccc1OCc1ccc(cc1)C(=O)Nc1ccccc1,>100000
141189,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)NCCc1ccccc1, 4740
141190,COc1ccc(C(=O)COC(=O)c2n[nH]c3ccccc23)c(OC)c1, 40300
141191,COc1ccc(C(=O)COC(=O)c2ccccc2O)c(OC)c1, 53100
141192,CCc1ccc(cc1)-c1csc(NC(=O)C2=COCCO2)n1, 48500
141193,Cc1ccc(s1)C(=O)COC(=O)c1ccc(Cl)c(N)c1, 23100
141194,COc1ccc(NC(=O)c2ccc(OCC3CCCO3)cc2)cc1Cl,>100000
141195,O=C(OCc1ccccc1C#N)c1ccc2OCCOc2c1, 27500
141196,COc1ccc(cc1OC)C(=O)c1nccc2cc(OC)c(OC)cc12, 2470
141197,COc1ccc(cc1)-c1cn(CCC(O)=O)c(C)n1, 4560
141198,Fc1ccc(NC2=CC(=O)C(=O)c3ccccc23)cc1, 4810
141199,Cc1cc(no1)-n1c(C)cc(C(=O)COc2ccc(F)c(F)c2)c1C, 20400
141200,[O-][N+](=O)c1ccc(s1)C(=O)OCc1nnc(o1)-c1ccccc1, 5560
141201,COc1cc(Cl)c(NC2=CC(=O)C(=O)c3ccccc23)c(OC)c1, 14500
141202,Clc1cccc(c1)-c1ccc(cc1)-c1nc2ccccn2c1NCc1ccccc1, 18000
141203,COc1ccc(cc1)-c1cc2ccc(OC)cc2cn1,>100000
141204,COc1cc(OC)cc(c1)C#Cc1ccc2cc(CCCO)oc(=O)c2c1, 10600
141205,C=CCn1c2ccccc2c(=O)c2cc(ccc12)C#Cc1ccccn1, 20800
141206,CC(C)n1cnc2c(NCc3ccccc3)cc(OCC3CCN(C)CC3)cc12, 4970
141207,CCC(COC)Oc1cc(NCc2ccccc2)c2ncn(C(C)C)c2c1, 4260
141208,Fc1ccc2cnc(cc2c1)-c1ccccc1F, 28500
141209,Fc1ccc2cnc(cc2c1)C1=CCCCC1, 49300
141210,COc1ccc(cc1)-c1cc2cc3OCOc3cc2cn1,>100000
141211,C1Oc2cc3cnc(cc3cc2O1)-c1ccsc1, 25900
141212,COc1cc(OC)cc(c1)-c1cc2ccccc2c(=O)o1,>100000
141213,CCOC(=O)C1C(C)NC(=O)N=C1COC(=O)c1ccc(s1)[N+]([O-])=O, 3570
141214,COc1cc(NC(=O)COC(=O)c2ccc(s2)[N+]([O-])=O)cc(OC)c1OC, 3880
141215,CSc1nc2ccc(NC(=O)COc3ccccc3F)cc2s1,>100000
141216,CN(CC(=O)Nc1ccccc1Cl)C(=O)COC(=O)c1ccc(s1)[N+]([O-])=O, 3950
141217,CC1CCCC(NC(=O)COC(=O)c2ccc(s2)[N+]([O-])=O)C1C, 5630
141218,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)N1CC(=O)Nc2ccccc12, 47900
141219,Clc1ccccc1C(=O)OCC(=O)c1ccc2OCC(=O)Nc2c1,>100000
141220,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)NNC(=O)c1ccccc1, 4200
141221,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)c1ccc[nH]1, 5370
141222,COc1ccc(C=CC(=O)OCC(=O)c2ccccc2F)cc1,>100000
141223,[O-][N+](=O)c1ccc(s1)C(=O)OCC(=O)N1CCN(CC1)c1ccccc1, 5370
141224,COc1ccc(cc1NC(=O)COC(=O)c1ccc(s1)[N+]([O-])=O)S(=O)(=O)N1CCOCC1, 6060
141225,CC(=C)C(O)CC\C(C)=C\Cc1c(O)ccc(C(=O)\C=C\c2ccc(O)cc2)c1O, 5080
141407,CCCCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc12,>5000
141408,CCC(C)NC(=O)c1c(N)n(CCCOC)c2nc3ccccc3nc12,>5000
141409,COc1cc2CC3N(C)CCc4cc(OC)c(OC)c(-c2cc1OC)c34,>5000
141410,COc1cc(ccc1N=CCC(=O)c1cccs1)[N+]([O-])=O, 458
141411,CCC(C)n1c(NC(=O)c2ccccc2)c(C#N)c2nc3ccccc3nc12,>5000
141412,Cc1ccc(cc1)C(=O)NNc1cc(nc(n1)N1CCCC1)N1CCCC1,>5000
141413,Fc1ccc(NNC2=c3ccccc3=NC2=O)cc1, 888
141414,Cc1ccc(NC2=CC(=NS(=O)(=O)c3cccs3)c3ccccc3C2=O)cc1,>5000
141415,CC(=NOC(=O)c1ccc(Br)cc1)c1ccccn1, 548
141416,CCOC(=O)c1c(NS(=O)(=O)c2ccccc2)n(CCCOC)c2nc3ccccc3nc12,>5000
141417,Cc1nc(Nc2ccc(cc2)C(O)=O)sc1-c1ccccc1, 325
141418,COc1cc(C(=O)c2nccc3cc(OC)c(OC)cc23)c(cc1OC)[N+]([O-])=O,>5000
141419,OC(=O)c1ccc(NC2=CC(=NS(=O)(=O)c3ccccc3)c3ccccc3C2=O)cc1,>5000
141420,Fc1ccc(cc1)-c1cc2C(=O)c3ccccc3-c2nn1, 1184
141421,CCN(CC)c1ccc(C=NNC(=O)c2ccoc2C)c(O)c1, 2532
141422,CCN1C(=O)C(=NNc2ccc3ccccc3n2)c2ccccc12, 2913
141423,CCOc1ccc(C=C2CCc3ccccc3C2=O)cc1, 782
141424,[O-][N+](=O)c1ccc(\C=C2/CCc3ccccc3C2=O)cc1, 884
141425,Cc1ccc(C=Cc2nc3ccccc3c(=O)[nH]2)cc1, 403
141426,O=c1[nH]c(Nc2ccccc2)cc2ccccc12,>5000
141427,OC(=O)c1ccc2cc([nH]c2c1)-c1ccccc1, 471
141428,Cc1cc(C)nc(Nc2nc(cs2)-c2ccccc2)n1, 865
141429,Cc1ccnc(Nc2nc(cs2)-c2ccccc2)c1, 824
141430,Oc1cccc2cc(-c3nc4ccccc4[nH]3)c(=O)oc12, 606
141431,Cc1ccc(c(C)c1)S(=O)(=O)N=C1C=C(Nc2cccc(c2)C(O)=O)C(=O)c2ccccc12,>5000
141432,Cn1c(cc2onc(-c3ccccc3)c2c1=O)-c1ccccc1, 607
141433,COc1ccc(cc1OC)C(=O)c1nccc2cc(OC)c(OC)cc12,>5000
141434,Brc1ccc(cc1)-c1cnc(o1)-c1cccs1, 15000
141435,Cc1cccc(c1)-c1cc2nc3CCCCc3c(N3CCOCC3)n2n1, 18500
141436,CC(=NCc1ccco1)c1c(C)[nH]n(-c2nc3ccccc3s2)c1=O, 9470
141437,CN(C(=O)c1ccccc1)c1nc2ccccc2s1, 21100
141438,CCCOc1ccc(cc1)-c1nnc(o1)-c1ccco1, 22400
141439,O=c1n2CCCN=c2sc1=Cc1ccc2OCOc2c1, 33600
141440,Cc1ccc(C)c(c1)-c1nc2cc(N)ccc2o1, 25200
141441,CC(C)c1ccc(cc1)-c1nnn(CCC(O)=O)n1, 9320
141442,Cc1cccnc1Nc1nc(cs1)-c1ccc(O)cc1O, 8000
141443,CCOc1ccc(OCc2ccc(o2)C(=O)OCc2ccccn2)cc1, 38100
141444,Cn1c(cc2sccc12)C(=O)Nc1ccc2OCOc2c1, 16100
141445,Cc1c(NC(=O)c2ccccc2N)cccc1C(O)=O, 9430
141446,CC(C)Oc1ccc2c(c1)occ(-c1ccccc1)c2=O, 57200
141447,C(Cc1ccccc1)Nc1ncnc2n(ncc12)-c1ccccc1, 19600
141448,C=COC(=O)CSc1nc(ccc1C#N)-c1cccs1, 6530
141449,CCCCn1c(NC(=O)c2ccccc2Cl)c(C#N)c2nc3ccccc3nc12, 986
141450,Clc1ccccc1C(=O)Nc1c(C#N)c2nc3ccccc3nc2n1CC=C,<1550
141451,Clc1ccc(cc1)-c1nnc(NC2=NCCCCC2)o1, 30100
141452,COc1ccc(cc1)-n1c(NC(=O)c2ccco2)c(C#N)c2nc3ccccc3nc12, 4070
141453,O=C(Nc1nc(=O)c2ccccc2s1)c1ccccc1, 60630
141454,CCCCn1c(NC(=O)c2ccco2)c(C(=O)OCC)c2nc3ccccc3nc12, 3250
141455,COc1ccc(OC(=O)c2cc3ccccc3o2)cc1,>100000
141456,Cc1ccc2oc(nc2c1)-c1ccco1, 21300
141457,CCn1cnc2sc(cc2c1=O)-c1ccccc1, 32200
141458,CCCNC(=O)c1c(N)n(CC2CCCO2)c2nc3ccccc3nc12, 2010
141459,CCC(C)NC(=O)c1c(N)n(CCCOC)c2nc3ccccc3nc12, 802
141460,Nc1nnc2CCCCc2n1, 7370
141461,COC(=O)Nc1nnc(s1)-c1ccccc1Cl, 18900
141462,Cc1cc(N2CCCCC2)n2ncc(-c3ccccc3)c2n1, 13800
141463,Nc1c(cc(Cl)c2nonc12)N1CCCC1, 3020
141464,Cc1ccnc2ccc(cc12)-c1nc2ccccc2o1, 3650
141465,CCOC(=O)c1cc(n[nH]1)-c1cc2ccccc2o1, 21600
141466,NC(=O)c1c(NC(=O)c2cc3ccccc3o2)sc2CCCc12, 17200
141467,Cc1ccc(s1)C(=O)OCC(=O)c1ccc(Cl)s1, 24600
141468,COc1ccc2nc(NC(=O)c3cccc(OCc4c(C)noc4C)c3)sc2c1, 4780
141469,Cc1csc2nc(CSc3nc4ccccc4o3)c(Br)n12, 12500
141470,c1csc(c1)-c1csc(n1)-c1cccs1, 20100
141471,CSc1ncccc1C(=O)OCc1ccccc1, 31800
141472,OC1(NC(=O)c2ccccc2)C(=O)c2ccccc2C1=O, 2390
141473,Fc1cccc2sc(nc12)N1CCCCC1, 30300
141474,Nc1nc2ccccc2n1N=Cc1ccc(Br)cc1, 5960
141475,CC(=O)c1sc(Nc2nc3ccc(F)cc3s2)nc1C, 11200
141476,CCOC(=O)Nc1ccc(C(=O)Oc2ccccc2)c(O)c1, 47600
141477,Cc1ccccc1-c1nnc(SCc2ccccc2F)o1, 21900
141478,O=C(Nc1ccc(cc1)-c1noc(n1)-c1cccs1)c1cccnc1, 76200
141479,[O-]N1[C@H]2CCCC[C@H]2[N+](=O)C2=C1C(=O)c1ccccc21, 10200
141480,COc1cccc2sc(Nc3nc(cs3)-c3ccccn3)nc12, 6040
141481,NC(=O)c1ccc(cc1)-c1ncc(o1)-c1ccccc1, 33900
141482,CN(C(=O)c1cc2cc3ccc(C)cc3nc2o1)c1ccccc1, 42100
141483,N(c1ccccc1)c1ncnc2c3ccccc3oc12,>100000
141484,O=C(CSc1nnc[nH]1)Nc1sc2CCCCCc2c1C#N, 4000
141485,O=C(Oc1ccc(OC(=O)c2ccccc2)cc1)N1CCOCC1,>100000
141486,Cc1cccc(c1)-c1noc(n1)C1CCCCC1, 40100
141487,Cc1nnc(SCCC(=O)Nc2nc(ns2)-c2ccccc2)s1, 21900
141488,Oc1c(ccc2ccccc12)-c1cc(n[nH]1)-c1ccco1, 15000
141489,Clc1ccc(OCc2nc(no2)-c2ccncc2)c(Cl)c1, 28800
141490,Fc1ccccc1CSc1nnc(o1)-c1ccccc1, 36100
141491,Cc1ccc(-c2cc([nH]n2)-c2cccc(F)c2)c(O)c1, 12200
141492,CCOC(=O)c1sc(cc1N)-c1ccc(OC)cc1, 12100
141493,Cc1ccc(cc1)-c1nnc(SCc2ccccc2F)o1, 14600
141494,Fc1ccc(cc1)C1=CCN(CC1)C(=O)Nc1ccccc1, 54500
141495,Cc1ccc2nc([nH]c2c1)-c1ccc(NC(=O)c2ccco2)cc1,>100000
141496,CCCC(=O)Nc1ccc(cc1)-c1nc2cc(C)ccc2o1, 64700
141497,COc1ccc(cc1)-n1nc2cc(C)c(N)c(Br)c2n1, 13700
141498,COc1ccc(cc1)-c1cc(O)cc(O)c1, 41100
141499,Cc1ccc(cc1)-c1nnc(Nc2ccccc2)[nH]1,>100000
141500,CC(C)(C)c1ccc(OCc2nc(no2)-c2ccccn2)c(Br)c1, 17600
141501,Brc1ccc(s1)C(=O)Nc1nc2CCCCc2s1, 5950
141502,COc1ccccc1-n1c(=O)oc2ccc(Cl)cc2c1=O, 16500
141503,Cc1occc1C(=O)Nc1nnc(s1)C1CCCCC1, 3880
141504,Clc1ccc(COn2nnc3ccccc23)c(Cl)c1, 31200
141505,C1CCC(CC1)c1noc(n1)-c1ccccc1, 66300
141506,Cc1nn(c(N)c1-c1ccccc1)-c1nc2ccccc2[nH]1, 8040
141507,CCOc1ccc2nc(NC(=O)Nc3cccs3)sc2c1, 19200
141508,Clc1ccc(s1)C(=O)Nc1nc2ccccc2s1,>100000
141509,CC1CCN(CC1)c1ncnc2n(ncc12)-c1cccc(C)c1, 21900
141510,CCCCNc1cc(NC(C)=O)cc2cc(OC)c(OC)cc12, 6780
141511,Brc1ccc(cc1)C(=O)COC(=O)c1cccc(NC(=O)c2ccco2)c1, 9010
141512,Clc1ccc(cc1)-c1nnc(o1)-c1ccccc1Cl, 3190
141513,Cc1cccc(NC(=O)COc2ccc(Br)cc2C)n1, 9120
141514,CCOc1cccc(c1)-c1nc2cc(C)ccc2o1, 15600
141515,CCOC(=O)c1ccc(NC(=O)c2cc3ccccc3o2)cc1, 7740
141516,COc1ccc(Nc2ccc3=[N+]([O-])C4(CCCCC4)N=c3c2)cc1, 6280
141517,Clc1ccc2oc(nc2c1)-c1ccccc1, 22000
141518,Cn1c(SCc2ccc(cc2Cl)C#N)nc2ccccc12, 10800
141519,Cc1ccc(OCc2nc(no2)-c2ccccc2)c(C)c1, 11800
141520,COc1cc2CC3N(C)CCc4cc(OC)c(OC)c(-c2cc1OC)c34, 1860
141521,COc1ccc(cc1)-c1noc(Cc2cccs2)n1, 31800
141522,COc1ccc(O)c(c1)-c1cc([nH]n1)-c1cccc(Br)c1, 26500
141523,OC(=O)c1ccc(OC2CSC2)cc1, 13000
141524,CC1OC(Nc2cccc3ccccc23)C(O)C(O)C1O, 3630
141525,CCO\C=C1/C(=O)N(C(=O)c2ccccc12)c1ccccc1, 16600
141526,CCOC(=O)c1cc2ccc3ccccc3c2s1, 70900
141527,COC(=O)c1sccc1NC(=O)CCC1CCCCC1, 62800
141528,Cc1cc(C)n(n1)-c1cc(Oc2ccc(C)cc2)ncn1, 35700
141529,CCCCOC(=O)Nc1ccc2c(C)cc(=O)oc2c1, 8260
141530,Cc1[nH]n(C(N)=S)c(=O)c1N=Nc1ccc(cc1)S(=O)(=O)N1CCCCCC1, 15500
141531,O=C(CCc1ccccc1)c1ccc2OCCCOc2c1, 32800
141532,Oc1ccc(cc1)-c1nc2ccccn2c1NCc1ccco1, 54400
141533,Cc1ccccc1-c1nc2cc(Cl)ccc2o1, 13700
141534,Clc1ccc(NC(=O)Nc2nccs2)cc1, 14600
141535,COc1ccc2C(=O)C(CCc2c1)=CNc1ccc2OCOc2c1, 8460
141536,O=c1oc(nc2sc3CCCCc3c12)-c1ccco1, 35100
141537,Brc1ccc(o1)C(=O)Nc1ccc-2c(Cc3ccccc-23)c1, 2380
141538,Cc1ccccc1-c1nc2sc3CCCc3c2c(=O)o1, 3420
141539,COc1ccc(cc1)-c1csc(NC(=O)c2ccco2)n1, 28500
141540,Cc1ccc2oc(nc2c1)-c1ccccc1, 7600
141541,ClCC(=O)Oc1ccc2occ(C(=O)c3cccs3)c2c1, 30700
141542,Clc1ccccc1OCc1ccc(o1)C(=O)OCc1ccccn1, 12400
141543,Clc1ccc(cc1)-c1csc2nc3cccc4cccc(c34)n12, 1890
141544,Cc1ccc(NC2=CC(=O)C(=O)c3ccccc23)cc1, 13500
141545,OC(=O)c1cccc(c1)-c1nnn(Cc2ccccc2Cl)n1,>100000
141546,CC(=O)c1cccc2C(=O)C(Nc12)=C1Nc2ccccc2C1=O, 13200
141547,Cc1ccc(cc1)-n1cc2ccc(cc2n1)[N+]([O-])=O, 17200
141548,Cc1ccccc1-c1nnc(o1)-c1ccccc1C, 6650
141549,Fc1cccc(NC(=O)c2ccc(o2)-c2ccccc2Cl)c1, 42000
141550,Clc1ccccc1-c1ccc(o1)C(=O)Nc1ccccc1,>100000
141551,COc1ccc(NC(=O)c2ccc(o2)-c2ccccc2Cl)cc1, 4210
141552,COc1ccc(\C=C\C(=O)c2ccccc2O)cc1, 6000
141553,Clc1ccc(NC(=O)C2=Cc3ccccc3OC2)cc1, 9300
141554,Brc1ccc(cc1)-c1cn2nc3CCCCc3nc2n1, 12300
141555,Cc1ccn2n(C(=O)c3ccccc3)c(=S)nc2c1, 72300
141556,Cc1noc(CC=Nc2cccc(C)c2)c1[N+]([O-])=O,>100000
141557,Clc1ccsc1-c1csc(n1)-c1cccnc1, 11300
141558,Cc1snc2sc(C(=O)c3ccc(C)cc3)c(N)c12,>100000
141559,Clc1nnc(N=NCc2ccccc2)c2ccccc12, 5570
141560,CSc1ccccc1NC(=O)c1cc(on1)C1CC1, 30700
141561,COc1ccc(cc1)C(=O)Nc1nc-2c(Cc3cc(OC)ccc-23)s1, 1650
141562,COc1cc(ccc1N=CCC(=O)c1cccs1)[N+]([O-])=O, 1150
141563,Cc1ccc(cc1)-c1nc2sc3CCCCc3c2c(=O)n1N, 18200
141564,Clc1ccc(s1)S(=O)(=O)Nc1ccc(cc1)-c1nc2cccnc2s1, 25000
141565,CCOC(=O)c1c(C)[nH]c(N=Nc2cccc(C)c2)c1C, 18000
141566,O=C(Nc1ccccc1)Nc1ccccc1C(=O)NCc1ccccc1,>100000
141567,Clc1cccc(NC(=O)Nc2ccccc2C(=O)NCc2ccco2)c1, 4440
141568,Fc1ccc(NC(=S)N2N=CCC2c2ccccc2)cc1, 39300
141569,CCn1c(SCc2ccccc2Cl)nc2ccccc12, 17500
141570,O=C(CSCc1ccccc1)N1CCc2ccccc12, 11400
141571,O=C(NN=c1c(=O)c2ccccc2c1=O)c1ccccc1, 3470
141572,CCSc1nnc(NC(=O)c2ccc(C)cc2)s1,>100000
141573,O=C1N(CCSc2ccccc2)C(=O)c2ccccc12, 30400
141574,COC(=O)c1ccccc1NC1=CC(=NS(=O)(=O)c2cccs2)c2ccccc2C1=O, 1860
141575,CC(=O)Nc1nc(COc2ccc3ccccc3c2)cs1, 8610
141576,Oc1ccc2occ(C(=O)c3cccs3)c2c1, 10600
141577,Cc1ccc(cc1)-c1noc(CSc2ccccc2)n1, 36400
141578,COc1ccc(cc1)C(N)=NOC(=O)CSc1ccccc1, 28000
141579,Cc1ccc(cc1C)C(=O)c1cc2ccccc2o1, 6410
141580,CCCOc1ccc(cc1)C(=O)Nc1ccc(Cl)cn1, 16100
141581,COC(=O)c1ccc(NC(=O)Nc2ccc(F)c(Cl)c2)cc1,>100000
141582,Clc1ccc2oc(cc(=O)c2c1)-c1cccs1,>100000
141583,CC(=Nc1cccc(C)c1)c1sc2ccccc2c1O, 12700
141584,Oc1ccccc1NC1=CC(=O)C(=O)c2ccccc12, 2950
141585,Cc1oc-2c(c1C(=O)c1ccccc1)C(=O)C(=O)c1ccccc-21, 6870
141586,Cc1oc-2c(c1C(=O)c1ccc(C)cc1)C(=O)C(=O)c1ccccc-21, 4760
141587,CC(=O)N(N=C1Sc2ccccc2C1=O)c1ccc(C)cc1C, 7100
141588,Cc1ccc2n3CCN(C4CCc(c34)c(=O)c2c1)C(=O)CCl, 8690
141589,CC(=O)N(N=C1Sc2ccccc2C1=O)c1cccc(C)c1, 6060
141590,CC(=O)N(N=C1Sc2ccccc2C1=O)c1ccccc1C, 1910
141591,Cc1ccc(O)c(c1)-c1cc(n[nH]1)-c1ccccc1F, 21900
141592,CCCSC(N)=NN=Cc1cc(C)ccc1O, 93500
141593,Cc1cccc(NCc2nc3ccccc3n2Cc2ccccc2)c1, 37700
141594,COCC(C)n1c(C)cc(C(=O)COC(=O)c2n[nH]c3ccccc23)c1C, 24300
141595,COc1ccc(cc1)-c1nnc(SCc2ccccc2F)o1, 12000
141596,CCC(C)n1c(NC(=O)c2ccccc2)c(C#N)c2nc3ccccc3nc12, 984
141597,COc1cccc(Nc2nc(cs2)-c2ccc3OCCOc3c2)c1, 20300
141598,CCOC(=O)c1sc(NC(=O)c2ccc(C)s2)cc1C,>100000
141599,Cc1ccc(Nc2ncnc3c4ccccc4oc23)cc1,>100000
141600,Cc1csc(N=[NH+]C[c-]2ccc(=O)c(c2)[N+]([O-])=O)n1, 9250
141601,CCOC(=O)c1ccc(NC(=O)Nc2ccc(F)cc2)cc1,>100000
141602,Clc1ccccc1COC(=O)c1cccnc1Cl, 36600
141603,CCc1ccc(OCC(=O)NN=C2CC(=O)c3ccccc23)cc1, 4060
141604,Cc1ccc(cc1)S(=O)(=O)NC(=NC(=S)Nc1ccccc1)c1ccccc1, 14100
141605,O=C1N=c2ccccc2=C1NNc1nc2ccccc2s1, 66400
141606,CCN(CC)c1ccc(NC(=O)COC(=O)c2cccs2)cc1, 98200
141607,CC(C)(C)NC(=O)COc1ccc(cc1)-c1ccccc1, 52600
141608,CCOc1ccc2nc(NC(=O)Cc3cccs3)sc2c1, 33200
141609,OC(c1nnc(o1)-c1ccccc1)c1ccc(OCc2ccccc2)cc1, 33200
141610,Cc1sc(NC(=O)c2cccc(C)c2)c(C#N)c1-c1ccccc1,>100000
141611,FC(F)Oc1cccc(c1)C(=O)Nc1cc(Cl)cc(Cl)c1, 46900
141612,Cc1ccc(cc1)C(=O)COC(=O)c1cccc(NC(=O)c2ccc(cc2[N+]([O-])=O)[N+]([O-])=O)c1, 4890
141613,Nc1c(N=Nc2ccccc2F)c(=O)[nH]n1-c1ccccc1, 2090
141614,Clc1ccc(cc1)-c1cc2ccccc2[nH]1, 18000
141615,CCCCc1ccc(Nc2ncccc2C#N)cc1, 17200
141616,[O-][N+](=O)c1cccnc1NCCNc1ncc(cc1Cl)C(F)(F)F, 19100
141617,Cc1nnsc1NC(=O)OCc1ccccc1Cl, 45600
141618,NC(=O)C1CCN(CC1)C1=C(Cl)C(=O)c2ccccc2C1=O, 5840
141619,O=C(Nc1ccc(cc1)C#Cc1ccccc1)C1CC1,>100000
141620,Cc1ccc(cc1)-c1cnn(c1N)-c1cccc(c1)[N+]([O-])=O,>100000
141621,Cc1ccc(\C=C\c2nnc(o2)-c2cccs2)cc1,>100000
141622,Cn1c2n(CC(=O)Nc3cccc(c3)-c3nc4ccccc4s3)cnc2c(=O)n(C)c1=O, 23400
141623,Cc1ccc(cc1)C(=O)NNc1cc(nc(n1)N1CCCC1)N1CCCC1, 838
141624,CC(=NNC(=O)c1ccc(Br)cc1)c1ccccc1, 6550
141625,CC1Cc2ccccc2N1C(=O)CSc1ncccc1-c1nc2ccc(C)cc2[nH]1,>100000
141626,Clc1ccccc1-c1ccc(o1)C(=O)Nc1nccs1,>100000
141627,COc1ccc(NC(=O)c2csc3CCCCc23)cc1,>100000
141628,[O-][N+](=O)c1ccccc1N=[NH+]Cc1c[n-]c2ccccc12,>100000
141629,CC(=NOC(=O)c1ccc(Cl)cc1)c1nccs1, 11700
141630,Fc1ccc(cc1)C(=O)ON=C1CCCc2ccccc12, 2340
141631,Clc1ccc2nc(cn2c1)-c1ccc(Br)s1, 12300
141632,CC(=NOC(=O)c1ccccc1F)c1nccs1, 17200
141633,COn1c(nc2ccc(Cl)cc12)-c1ccccc1, 30000
141634,N(c1nnc(s1)-c1ccncc1)c1cccc2ccccc12, 10100
141635,[O-][N+](=O)c1ccc(cc1)-c1nc2ccc(cc2[nH]1)[N+]([O-])=O, 27400
141636,CN(C)S(=O)(=O)Oc1cccc(c1)C(=O)Nc1ccc(Cl)c(Cl)c1, 13600
141637,Cc1cc(C)nc(NC(=O)\C=C\c2ccc(Cl)cc2Cl)c1, 3510
141638,[O-][N+](=O)c1ccc(CSc2nc3ccccc3o2)cc1, 23300
141639,CC(=O)c1ccc(NC2=C(N3CCOCC3)C(=O)c3ccccc3C2=O)cc1, 11600
141640,C(N=Nc1nc(cs1)-c1ccccc1)c1cccs1, 12800
141641,Oc1ccc(CN=Nc2cc(nc(n2)N2CCCC2)N2CCCC2)cc1, 6050
141642,O=C(Nc1ccc(Oc2ccccc2)cc1)\C=C\c1ccco1, 5230
141643,COc1ccc2oc3ccc(OC)cc3c(=O)c2c1, 15100
141644,CCOC(=O)c1ccccc1N=CCC(=O)c1ccccc1, 16200
141645,On1n(nc([N+]([O-])=O)\c1=N/Cc1ccccc1Cl)-c1ccc2OCCOc2c1,>100000
141646,[O-][N+](=O)c1cccc(c1)N=CCC(=O)c1ccco1,>100000
141647,Oc1ccc(cc1)N=Nc1c(O)ccc2ccccc12, 13000
141648,Brc1cccc(c1)C(=O)NN=Cc1cccc(Oc2ccccc2)c1,>100000
