pIC50,pIC50_std,smiles
4.754561766,0.654162923,OC(=O)c1cccc(c1)C(=O)NCc1ccc(cc1)C(=O)NNC(=O)[C@H]1O[C@@H]1C(=O)N(Cc1cccc2ccccc12)Cc1cccc2ccccc12
8.419645339,,CNC(=O)c1c(oc2cc(N(C)S(C)(=O)=O)c(cc12)-c1ccc2CCn3c(cc4c(F)cccc34)-c2n1)-c1ccc(F)cc1F
5.243747187,0.130888135,CC(=NNC(=O)c1ccc(O)cc1)c1ccc2Sc3ccccc3Nc2c1
4.414356225,0.16026749,CC(=O)OCC(=O)[C@H](CCc1ccccc1)NC(=O)[C@H](CCc1ccccc1)NC(=O)OCc1ccccc1
4.37675071,,CCN(Cc1ccccc1)C(=O)N1[C@@H](Cc2ccccc2)CC1=O
4.669586227,0,CCOc1cc(ccc1O)C(c1c(C)[nH][nH]c1=O)c1c(C)[nH][nH]c1=O
5.306411907,0.375407656,CC(C)OC(=O)C(C(C)=O)C1=C(Cl)C(=O)c2ccccc2C1=O
5.049635146,,[O-][N+](=O)c1ccccc1\C=C\C=N\NC(=O)CSc1nc2ccccc2c(=O)n1-c1ccc(Cl)cc1
4.318758763,,CCc1ccc2NC(=O)\C(=C3/SC(=N)NC3=O)c2c1
4.571635555,0.808414754,COC(=O)c1ccccc1NC1=CC(=NS(=O)(=O)c2ccc(cc2)C(O)=O)c2ccccc2C1=O
6.950781977,,COc1ccc2cc(ccc2c1)[C@H](C)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C=O
5.15490196,,Cc1ccc(COC[C@@H](OCc2ccc(C)cc2)[C@@H](O)[C@H](O)[C@@H](COCc2ccc(C)cc2)OCc2ccc(C)cc2)cc1
3.920818754,,Oc1c(Cc2ccccc2)c(=O)oc2ccccc12
7.008773924,,COc1ccc(CN[C@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)[C@@H](NC(=O)CCc2nc3ccccc3[nH]2)C(C)(C)C)C(=O)N[C@@H]2[C@H](O)Cc3ccccc23)cc1
8.22184875,,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)NC(Cc1ccc(OCc2ccccc2)cc1)C(=O)C(F)(F)C(=O)N[C@H](C(C)C)C(=O)OC(C)(C)C
8.021591747,0.000968238,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@H]1C=CC[C@H]1O
8.022276395,,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)NC1C=CC[C@@H]1O
8.022276395,,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccccc1)C(=O)N[C@@H]1C=CC[C@H]1O
8.886056648,0,CC(C)(C)NC(=O)[C@@H]1CCCN1C(=O)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](CC(N)=O)NC(=O)COc1ccc2ccccc2c1
4.428836486,0.150698121,CC1(C)CC2(CC(C)(C)c3cc(c(O)c(c23)[N+]([O-])=O)[N+]([O-])=O)c2cc(O)c(cc12)[N+]([O-])=O
4.66756154,,Nc1c(oc2nc(cc(-c3ccccc3)c12)-c1ccccc1)-c1n[nH]c(=S)n1CC=C
4.553318886,0.595914591,CC(N=Nc1ccc(cc1)[N+]([O-])=O)c1ccco1
4,,CCCC(NC(=O)[C@@H]1[C@H]2CCC(F)(F)[C@H]2CN1C(=O)[C@@H](NC(=O)OC(C)C)C(C)(C)C)C(=O)C(=O)Nc1ccccc1
4.259637311,,CCN(CC)CCCCNc1c2[nH+]c3ccccc3c2n(C)c2ccccc12
4.625251654,0,O=C(COc1ccccc1)N1CCc2ccccc2C1
4.853871964,,NC(=N)c1ccc2[nH]c(cc2c1)-c1cc(ccc1O)-c1ccc(cc1)C(F)(F)F
4.431798276,,COC(=O)c1ccccc1S(=O)(=O)NC(=O)C[C@H](NC(=O)c1ccc2nc(Cc3nc4ccc(cc4[nH]3)C(N)=O)n(C)c2c1)C(=O)OCc1ccccc1
4.886056648,,CCOc1ccc(cc1)C1=CS\C(N1CC)=C(/C#N)c1nnc2CCCCCn12
5.259637311,,Oc1cc2c3c(oc(=O)c4cc(O)c(O)c(oc2=O)c34)c1O
6.204119983,,Nc1nc(N)c2ncn([C@@H]3O[C@H](COP([O-])(=O)OP([O-])(=O)OP(O)([O-])=O)[C@@H](CO)[C@H]3O)c2n1
5.085358408,0.730633772,OC1(NC(=O)c2c(Cl)cccc2Cl)C(=O)c2ccccc2C1=O
10.82390874,,CC(C)(C)NC(=O)[C@@H]1CN(CCN1C[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@@H]1[C@H](O)Cc2ccccc12)S(=O)(=O)c1cccc2cccnc12
4.795880017,1.125544315,Oc1ccc(CN=Nc2cc(nc(n2)N2CCCC2)N2CCCC2)cc1O
6.602059991,,Cc1cc(cc(C)c1O)-c1cc(O)c(SCc2ccccc2)c(=O)o1
5.142667504,,Cc1noc(C)c1CN1C(=O)C(=O)c2cc(ccc12)C#N
6.162110829,1.49869574,CC(C)CCCC(C)C1CCC2C3CC=C4CC(CC[C@]4(C)C3CC[C@]12C)OC(=O)Nc1cc(cc2cc(cc(O)c12)S(O)(=O)=O)S(O)(=O)=O
4.198427814,0.280619305,Cc1cccc(c1)-c1noc(n1)C1CCCCC1
8.602059991,,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@]1(Cc2ccccc2)N=CC(C2[C@@H]3OC(=O)N[C@@H]3c3ccccc23)C1=O
5.552841969,,CC(NC(=O)[C@H](CC(=O)N(C)C)NC(=O)[C@@H](NC(C)=O)C(C)(C)C)C(=O)C(F)(F)F
5.193820026,,CC(C)c1ccc(CN(C)C(=O)N2[C@@H](Cc3ccccc3)CC2=O)cc1
4.309612271,0.044438672,Cc1nnsc1NC(=O)OCc1ccccc1Cl
5.247900541,0.368738884,CC(=O)N1C(=O)C(=C2SC(=S)N(NC(=O)c3ccc(O)cc3)C2=O)c2ccccc12
9.045757491,,Cc1c(O)cccc1C(=O)N[C@@H](Cc1ccc(F)cc1)[C@H](O)C(=O)N1C[C@@H](Cl)C[C@H]1C(=O)NC(C)(C)C
4.283996656,,CC(C)[C@H](NC(C)=O)C(=O)N[C@@H](C(C)C)C(=O)N[C@@H](CO)C(=O)NC(C)C(=O)C(F)(F)F
8,,OCc1ccc(CN2[C@H](COc3ccccc3)[C@H](O)[C@@H](O)[C@@H](COc3ccccc3)N(Cc3ccc(CO)cc3)C2=O)cc1
4.719449308,1.017454969,COc1ccccc1N1CCN(CC1)\N=C\c1ccc(cc1)[N+]([O-])=O
4.301029996,,OCC(=O)CNNc1nc(Nc2ccccc2)nc(n1)N1CCCCC1
5.140502621,0.731893702,Cc1coc-2c1C(=O)C(=O)c1c-2ccc2c(C)cccc12
6.22184875,,O[C@@H]([C@H](O)[C@@H](COCc1ccccc1F)OCc1ccccc1)[C@@H](COCc1ccccc1F)OCc1ccccc1
4.487347067,0.689212832,Cc1ccc(Cn2ccsc2=NC(=O)COC(=O)c2ccc(O)cc2O)cc1
7.920818754,,CC(C)[C@H](NC(=O)CCc1ccccn1)C(=O)N[C@@H](Cc1ccccc1)C(O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)CCc1ccccn1)C(C)C
4.928117993,0,CC(=O)Nc1ccc(NC(=O)COC(=O)c2ccc(o2)[N+]([O-])=O)cc1
4.343671769,,CC(=O)c1c(OC(=O)c2ccco2)c2ccccc2n1C
5.301029996,,CC[C@H](C)[C@H](NC(=O)[C@H](CCCCNC(=O)OCc1ccccc1)NC(C)=O)C(=O)N[C@@H]([C@@H](C)OCc1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](C)C(=O)C(F)(F)C(=O)NCC(=O)OCc1ccccc1
8.443697499,,CC(C)CC1(CCc2ccc(O)cc2)CC(=O)C(Sc2cc(C)c(OS(=O)(=O)Cn3ccnc3)cc2C(C)(C)C)C(=O)O1
9.958607315,,CC(C)(C)NC(=O)C1CN(Cc2cc3cccnc3s2)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1C(O)Cc2ccccc12
4.645047165,0.158271408,CCn1c(SCc2ccccc2Cl)nc2ccccc12
4.924453039,,Clc1cccc(Cl)c1CNc1ccc(cc1)N1CCCC1
7.886056648,,CC(C)[C@H](CCc1ccccc1)NC(=O)C(F)(F)C(=O)C(Cc1ccc(OCc2ccccc2)cc1)NC(=O)[C@@H](NC(=O)OCc1ccccc1)C(C)C
9.619788758,,CC(C)C1(CCc2cncs2)CC(=O)C(Sc2cc(C)c(CO)cc2C(C)(C)C)C(=O)O1
6.292429824,,COc1ccc(CN[C@H]([C@H](O)[C@H](Cc2ccccc2)NC(=O)OC(C)(C)C)C(=O)N[C@@H](C(C)C)C(=O)NCc2nc3ccccc3[nH]2)cc1
5.124083416,0.539892984,Nc1ccc2c(c1)[c-](N=[OH+])c1cc(ccc21)[N+]([O-])=O
