,episode,step,epsilon,smiles,reward,q,random,loss,logP,ic50,QED,SA,cycles
909,23,39,0.9885630291773888,NP(N)ON(PCl)P(C=PN1BC(N(Br)C(F)(I)SPS)P(Cl)N=BNS1)N=I,-16.85764147438535,-27.620216,True,0.2612081468105316,6.919200000000003,6.6276607513427725,0.016821678715083745,-7.899238729831292,-2.0
918,24,8,0.9880687476628,ClSBr,-3.652332025671437,-9.109046000000001,True,0.5048413276672363,2.1833,5.045259475708008,0.5060736894991694,-4.643495500173444,-0.0
958,25,39,0.9875747132889688,NC(NC(Br)=I)B(P(Br)NCl)C(I)(SCl)SB(Cl)P(F)C(=C=O)ON(I)C#P,-9.094889168555225,-24.828613,True,1.9167059659957888,7.1811000000000025,6.5576934814453125,0.015337865650355584,-7.202204281966812,-0.0
969,26,10,0.9870809259323244,Clc1pbp(Cl)p1,-6.50219754388685,-10.0037,True,0.22285646200180054,3.8268,4.2898383140563965,0.5779145978747808,-6.937629254540273,-0.0
978,28,4,0.9860940917766235,ClC(Cl)(Cl)Cl,-2.0388609998271225,-6.5603123,True,0.4066221714019776,2.5529,4.703390598297119,0.4697955363527546,-2.8638013083016034,-0.0
983,29,4,0.9856010447307352,Brn1[nH][pH]1,-5.619602487400292,-6.9464045,True,0.2972093224525452,1.0054999999999998,4.987249374389648,0.555883348215333,-6.533933809695031,-0.0
1023,30,39,0.98510824420837,C=CC(F)(F)ON(C(=[SH2])B(C#[IH2])B(BCl)P(Cl)B(F)OP(Br)Br)N(Br)N=S,-9.490950558341698,-28.87865,True,0.6356498599052429,5.175500000000004,5.178502559661865,0.05182296808927422,-6.840275794613942,-0.0
1038,31,14,0.9846156900862658,ClN(OOBr)P(Br)Br,-6.019067281241893,-15.041284,True,1.3980929851531982,3.6319999999999997,5.518755435943604,0.3351570682854141,-5.889843714930304,-0.0
1078,32,39,0.9841233822412228,O=C=PB(B(I)SPS)P(F)B(I)P(SBr)C(F)(OP(P)OCl)SCl,-9.87788393189771,-25.193563,True,0.4278482496738434,9.644200000000003,5.246355056762695,0.06541580404904619,-7.287134898811978,-0.0
1118,33,39,0.9836313205501022,FB(Cl)OSB(Br)N(Cl)OOB(Br)N(Cl)OOOB(Br)P(Cl)Br,-9.660376901164,-23.732967000000002,True,0.4026688039302826,5.499,4.500338554382324,0.06166450662822879,-6.592709003743066,-0.0
1158,34,39,0.9831395048898272,FN(SN(Cl)C1(OSBr)N=BN1CBr)P(Cl)C(Cl)(Br)SSCl,-9.118369259808043,-26.317188,True,2.634061336517334,7.5796,6.023254871368407,0.026899106269595702,-6.938802919424592,-0.0
1198,35,39,0.9826479351373822,C=PSC(I)=NOB(P=BBr)C(I)(BBCl)N(N(N=I)OCl)C(Cl)(N=NI)SO,-11.198251879101116,-28.497387,True,0.8028591871261597,6.665200000000002,4.858213424682617,0.01779340972514431,-7.839086159324873,-0.0
1211,36,12,0.9821566111698136,ClC(Cl)(Br)Br,-0.6737561809867142,-5.5840635,True,0.5095030069351196,2.8651,6.473405361175537,0.5733464059867093,-3.521454536134517,-0.0
1251,37,39,0.9816655328642288,B#CSC(PB(Cl)B(F)B(Cl)Br)C(Cl)(N(Cl)Br)P(F)OBr,-9.540938017153053,-21.645885,True,0.5018758773803711,6.042300000000003,5.330182075500488,0.10209085551200728,-7.283488724935155,-0.0
1258,38,6,0.9811747000977968,ClOBr,-3.2277380890032146,-9.7587595,True,0.4234765470027924,1.4667,5.350038528442383,0.4836156974558714,-4.357826269404214,-0.0
1298,39,39,0.980684112747748,OPN=BC(=BC(OB=NF)(SN=BC(Br)(CCl)C(Br)(OC(Cl)=I)B(F)Br)N(Cl)I)P(F)I,-9.22586628209447,-30.691978000000002,True,0.8590422868728638,7.130800000000002,6.9592647552490225,0.03597664078999495,-7.699314271315548,-0.0
1338,40,39,0.980193770691374,B=NSNC(O)=C(OSB=C(Cl)P(SB)SBr)P=O,-8.661434298933253,-21.293568,False,0.9981402158737184,3.4464,4.770712375640869,0.1708673613827197,-6.599139441262072,-0.0
1378,41,39,0.9797036738060284,NC(Br)=C(F)OON(OC(Br)(OF)C(Cl)(OSI)PF)PSP(C=O)CS,-10.075332601551388,-33.35723,True,1.0070111751556396,6.669200000000003,4.88221549987793,0.016094050405375048,-6.914527222435777,-0.0
1418,42,39,0.9792138219691257,BB(Cl)B(B)B(P(Br)Br)C1(NI)N(BP)P1C(N)=O,-9.827008507757522,-25.684814000000003,True,0.6709659099578857,0.2864999999999997,4.613401889801025,0.15186164675689293,-7.3468418346748185,-0.0
1458,43,39,0.978724215058141,BSB(S)BC(I)(C=C)C(SBr)(SN(Br)ON(Cl)N(Cl)P(BI)SBr)C(Cl)(I)OBr,-10.120272211492138,-31.507877,True,0.6133567094802856,8.3195,5.9150567054748535,0.015680831753791914,-7.630057996754731,-0.0
1498,44,39,0.978234852950612,NSC(=BCl)P1C(Br)N(OSCl)OCBP(Br)C(I)=BP(Br)P1Br,-27.99243388722945,-28.790173,True,0.6177617907524109,7.335900000000002,5.30465841293335,0.0608849957328958,-7.832868513136427,-5.0
1538,45,39,0.9777457355241368,N=BC(Cl)(SSC(=[IH3])CNI)C(Cl)(OSCl)P(SCl)C(O)I,-7.771955561486548,-31.72655,True,1.6185203790664673,6.134370000000002,7.870661735534668,0.04168556909414378,-7.129975652871629,-0.0
1578,46,39,0.9772568626563748,BPP(B=NNSBO)OB(Br)N(Cl)C(S)(Br)N1SB1Cl,-10.463657902664238,-37.698170000000005,True,1.29121732711792,1.715,5.432931900024414,0.032784665434506914,-7.699414029064989,-0.0
1620,48,39,0.976279850107934,CP(PN(N=C=I)B(P=NCl)C(Cl)(Br)N(F)Cl)P(Cl)P(B(S)SI)P(Cl)SOP=C=O,-11.672928011708482,-27.422014,True,0.42905059456825256,12.1071,3.785344123840332,0.01685584892321629,-7.5194871164020975,-0.0
1626,49,5,0.97579171018288,BrBr,-3.0814082737186896,-39.70838,True,0.23008176684379575,1.6912,5.387023448944092,0.5050781538986456,-4.389860226641701,-0.0
1666,50,39,0.9753038143277888,N=PBNC(F)(F)B(SF)B(F)B(OOP=O)N(SC(Cl)(OF)N(Br)C(=O)Cl)C(F)=S,-9.025929372702436,-29.97079,True,0.13844682276248932,4.9796700000000005,5.987423419952393,0.02047098487397656,-6.800015043752524,-0.0
1706,51,39,0.974816162420625,CN(S)P(SI)B(OSBr)OC(Br)(I)C(Br)(Br)SCl,-8.16740799156436,-18.058935,True,0.7758987545967102,7.948600000000001,6.222451210021973,0.06311113281832265,-6.49979816829003,-0.0
1746,52,39,0.9743287543394148,O=C(Br)N(Cl)N1BC(B=PN=PF)(OC(F)(I)P(F)B(Cl)BC(Cl)=I)P1Cl,-10.472303602819766,-28.972927000000002,True,0.483267068862915,7.016100000000002,4.999391078948975,0.0478597734437305,-7.511328798043268,-0.0
1786,53,39,0.9738415899622449,BP(I)P(SF)N(SI)B(C(SP(Cl)I)N(I)P(Br)B(Br)SBr)P(Br)N(O)Cl,-10.676457746614275,-27.116138,True,0.3640631437301636,12.832099999999995,4.678122997283936,0.03501666197834435,-7.391565653501848,-0.0
1826,54,39,0.9733546691672641,CN(O)N(SCl)N(F)P(P)B1C(=NI)C1(Cl)B(Cl)C(=[SH2])P(C)F,-9.971144973120104,-30.228638,True,0.35749179124832153,4.563900000000004,4.516327381134033,0.0654202830602614,-6.883225337261893,-0.0
1866,55,39,0.9728679918326804,O=PP(Br)C(B=I)(C#CP(F)P(P(I)I)P(I)C([IH4])(OF)N(Cl)SOOBr)P(S)OBO,-10.933016303979864,-26.851406,True,0.6199545860290527,10.931699999999998,5.212440490722656,0.013409437127389762,-7.8265387160300195,-0.0
1906,56,39,0.972381557836764,B#CSPN(OP(B)Br)C(F)(I)B(I)B(C)N=PO,-10.2924579698606,-25.415596,True,0.39050915837287903,3.5626,4.26367712020874,0.11224504994712962,-7.264008843329276,-0.0
1946,57,39,0.9718953670578456,CB(OCl)N(Cl)B(OBr)P(SOF)SN(NCF)SB(F)B(Cl)PBr,-9.313886724637623,-29.69037,True,0.4685488045215607,6.184700000000001,5.236696720123291,0.0427929082909814,-6.677742145267553,-0.0
1986,58,39,0.9714094193743168,NCBSCC(P=O)(N(PCl)N(Br)SOBr)P(Cl)Br,-9.872562389507717,-23.607115,True,0.4538028538227081,5.344300000000001,4.617350101470947,0.06573006632443176,-6.870012014443875,-0.0
2014,59,27,0.9709237146646298,ClP(Br)Op1on1C(Cl)(Br)On1bbo1,-6.638642625751118,-22.721726999999998,True,0.7520525455474854,2.7579,4.869365692138672,0.5537783146161392,-7.287719856108064,-0.0
2054,60,39,0.9704382528072976,FOC1(OP(Br)N(SB(F)Br)SC(SF)(P(I)P=PSBr)P(I)SF)NO1,-9.966938419718096,-28.842102,True,0.6604956984519958,11.725699999999998,5.872692108154298,0.034639136690486856,-7.588951924494282,-0.0
2094,61,39,0.969953033680894,C=CBC(OP(B(OCl)B(SN(SCl)SN=I)C(F)P(Cl)Cl)N(Cl)P=O)B(F)Cl,-11.137339746245091,-34.360424,True,0.4537179172039032,8.405999999999997,4.0826196670532235,0.04831418079250177,-7.4606635819022955,-0.0
2134,62,39,0.9694680571640536,O=NSNN(C1NSC(F)(P=O)B(Br)OB1SI)C(F)(I)P(Cl)OCl,-13.419095657396472,-31.021228999999998,True,0.3596525490283966,5.9015,5.4176836013793945,0.043114887051692766,-7.305387447945431,-1.0
2174,63,39,0.9689833231354716,BB(O)C(S)=PN(B=PI)C1(Cl)C(S)=C2B=C2B(F)SB(Cl)N1B(Br)OBr,-16.96322464759465,-33.10368,True,0.517961859703064,2.5924000000000005,5.1284751892089835,0.0978514663142182,-7.4850613187812165,-2.0
